graphID,graphPng,html,graph,js
euftf,euG4_euftf.png,euG4_euftf.html,euG4,euG4_euftf.js
stflife,euG4_stflife.png,euG4_stflife.html,euG4,euG4_stflife.js
happy,euG4_happy.png,euG4_happy.html,euG4,euG4_happy.js
imbgeco,euG4_imbgeco.png,euG4_imbgeco.html,euG4,euG4_imbgeco.js
imueclt,euG4_imueclt.png,euG4_imueclt.html,euG4,euG4_imueclt.js
imwbcnt,euG4_imwbcnt.png,euG4_imwbcnt.html,euG4,euG4_imwbcnt.js
stfjb,euG4_stfjb.png,euG4_stfjb.html,euG4,euG4_stfjb.js
ppltrst,euG4_ppltrst.png,euG4_ppltrst.html,euG4,euG4_ppltrst.js
pplfair,euG4_pplfair.png,euG4_pplfair.html,euG4,euG4_pplfair.js
pplhlp,euG4_pplhlp.png,euG4_pplhlp.html,euG4,euG4_pplhlp.js
trstprl,euG4_trstprl.png,euG4_trstprl.html,euG4,euG4_trstprl.js
trstlgl,euG4_trstlgl.png,euG4_trstlgl.html,euG4,euG4_trstlgl.js
trstplc,euG4_trstplc.png,euG4_trstplc.html,euG4,euG4_trstplc.js
trstplt,euG4_trstplt.png,euG4_trstplt.html,euG4,euG4_trstplt.js
trstprt,euG4_trstprt.png,euG4_trstprt.html,euG4,euG4_trstprt.js
trstep,euG4_trstep.png,euG4_trstep.html,euG4,euG4_trstep.js
trstun,euG4_trstun.png,euG4_trstun.html,euG4,euG4_trstun.js
